,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,17.85309092203776,0.49127158223212364,0.0852976640065511,0.00186884815834575,0.4,0.1,0.1,4,1000,0,1,0.4,"OrderedDict([('colsample_bytree', 0.4), ('gamma', 0.1), ('learning_rate', 0.1), ('max_depth', 4), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.4)])",0.9802039592081584,0.9802039592081584,0.9777911164465787,0.9793996782876319,0.0011374249857665948,13
11,21.945786873499554,0.3631187585613653,0.08527620633443196,0.0011750975980637827,0.6947686233294834,0.1,0.1,4,1000,0,1,0.4,"OrderedDict([('colsample_bytree', 0.6947686233294834), ('gamma', 0.1), ('learning_rate', 0.1), ('max_depth', 4), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.4)])",0.9784043191361728,0.9808038392321535,0.9813925570228091,0.9802002384637118,0.001292450342703048,8
12,11.219711224238077,0.4146039428973276,0.08714930216471355,0.003145121784009557,0.4002546812171392,0.6107508363449495,0.06042823900537713,2,1000,10,1,0.6578352760292592,"OrderedDict([('colsample_bytree', 0.4002546812171392), ('gamma', 0.6107508363449495), ('learning_rate', 0.06042823900537713), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 10), ('reg_lambda', 1), ('subsample', 0.6578352760292592)])",0.9628074385122976,0.9712057588482303,0.9663865546218487,0.9667999173274588,0.0034410364389262705,26
13,13.42482876777649,0.3577242219571691,0.09268665313720703,0.005578853657696254,0.5866662288592184,0.1,0.1,2,1000,0,1,0.9,"OrderedDict([('colsample_bytree', 0.5866662288592184), ('gamma', 0.1), ('learning_rate', 0.1), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.9)])",0.9826034793041392,0.9826034793041392,0.9807923169267707,0.981999758511683,0.0008537901325781185,3
14,16.12165856361389,0.14360723482518264,0.09533063570658366,0.007222719515849269,0.7857399191154506,0.24461126355233273,0.08530234937714584,2,1000,0,12,0.8730441289027281,"OrderedDict([('colsample_bytree', 0.7857399191154506), ('gamma', 0.24461126355233273), ('learning_rate', 0.08530234937714584), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 12), ('subsample', 0.8730441289027281)])",0.9766046790641871,0.9808038392321535,0.9813925570228091,0.9796003584397166,0.002131856522687535,11
15,17.581814606984455,0.1326572269240797,0.11844372749328613,0.0013244935114705954,0.7088746147769244,0.1,0.001,2,1000,0,1,0.9,"OrderedDict([('colsample_bytree', 0.7088746147769244), ('gamma', 0.1), ('learning_rate', 0.001), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.9)])",0.8710257948410318,0.8884223155368927,0.8739495798319328,0.8777992300699524,0.007605900704790202,30
16,13.864441394805908,0.06041113524972318,0.08243743578592937,0.0001398057942389094,1.0,0.6100962685218857,0.09471680770105666,2,1000,10,5,0.9,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.6100962685218857), ('learning_rate', 0.09471680770105666), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 10), ('reg_lambda', 5), ('subsample', 0.9)])",0.9610077984403119,0.9706058788242351,0.9669867947178872,0.9662001573274782,0.00395768329135914,27
17,19.359656890233357,0.27632047498383877,0.09297418594360352,0.0035573811706997574,1.0,0.6477978555502225,0.030796034772758003,2,1000,0,1,0.9,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.6477978555502225), ('learning_rate', 0.030796034772758003), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.9)])",0.9814037192561488,0.982003599280144,0.9795918367346939,0.9809997184236622,0.0010252031175646589,5
18,31.530035257339478,0.407103420156032,0.08663455645243327,0.0020022623775666345,1.0,0.1,0.06980074142520458,4,1000,0,1,0.4,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.1), ('learning_rate', 0.06980074142520458), ('max_depth', 4), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.4)])",0.9814037192561488,0.9838032393521295,0.9849939975990396,0.9834003187357726,0.0014931584895051158,1
19,37.89506244659424,0.647239764751917,0.09193229675292969,0.00775306077568698,1.0,0.15414137195465674,0.04428230494568464,4,1000,0,1,0.4,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.15414137195465674), ('learning_rate', 0.04428230494568464), ('max_depth', 4), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.4)])",0.9796040791841631,0.9808038392321535,0.9795918367346939,0.9799999183836702,0.0005684798544433492,9
20,19.28140163421631,0.1255220141282035,0.09298141797383626,0.008472396606847952,0.8706920305665762,0.8273606278267331,0.06073867783171316,3,1000,0,1,0.4,"OrderedDict([('colsample_bytree', 0.8706920305665762), ('gamma', 0.8273606278267331), ('learning_rate', 0.06073867783171316), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.4)])",0.979004199160168,0.9832033593281344,0.9813925570228091,0.981200038503704,0.0017196964972939785,4
21,14.300138552983602,0.10404724440156801,0.09285537401835124,0.004057692964862975,1.0,0.3860213548205036,0.09362074863575828,2,1000,0,1,0.9,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.3860213548205036), ('learning_rate', 0.09362074863575828), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.9)])",0.9832033593281344,0.982003599280144,0.982593037214886,0.9825999986077214,0.0004898247230259203,2
22,20.1203514734904,0.6330587720028787,0.10507416725158691,0.008444602355541833,1.0,0.8177892192981725,0.07682427127961523,4,1000,0,1,0.9,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.8177892192981725), ('learning_rate', 0.07682427127961523), ('max_depth', 4), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 1), ('subsample', 0.9)])",0.9736052789442111,0.9802039592081584,0.9765906362545018,0.9767999581356238,0.002697963064225695,15
23,24.200021982192993,0.16700093614516545,0.13650949796040854,0.005072324563822658,1.0,0.1,0.07219137590983221,4,1000,10,5,0.4,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.1), ('learning_rate', 0.07219137590983221), ('max_depth', 4), ('n_estimators', 1000), ('reg_alpha', 10), ('reg_lambda', 5), ('subsample', 0.4)])",0.9658068386322736,0.9754049190161967,0.9699879951980792,0.9703999176155165,0.003929210847193388,22
24,16.215128501256306,0.7296427956157181,0.12058091163635254,0.014229649590149038,1.0,0.1,0.08420192464034712,2,1000,10,1,0.9,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 0.1), ('learning_rate', 0.08420192464034712), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 10), ('reg_lambda', 1), ('subsample', 0.9)])",0.9676064787042592,0.9736052789442111,0.9669867947178872,0.9693995174554525,0.0029846635026398224,24
25,21.072589079538982,0.447758809233917,0.1066136360168457,0.0003458569190380085,0.884150549123139,0.2818608431167,0.06590791893395642,3,1000,3,9,0.8626292054847573,"OrderedDict([('colsample_bytree', 0.884150549123139), ('gamma', 0.2818608431167), ('learning_rate', 0.06590791893395642), ('max_depth', 3), ('n_estimators', 1000), ('reg_alpha', 3), ('reg_lambda', 9), ('subsample', 0.8626292054847573)])",0.973005398920216,0.9802039592081584,0.9735894357743097,0.9755995979675612,0.0032644939972548245,17
26,17.977891842524212,0.042605868625560955,0.11058918635050456,0.0014249150468553145,0.8418775479286378,0.5527213304055298,0.03421127782312007,2,1000,0,5,0.4,"OrderedDict([('colsample_bytree', 0.8418775479286378), ('gamma', 0.5527213304055298), ('learning_rate', 0.03421127782312007), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 5), ('subsample', 0.4)])",0.9796040791841631,0.982003599280144,0.9795918367346939,0.9803998383996669,0.0011340412075709777,7
27,14.911526044209799,0.0540822228865413,0.1266916592915853,0.017788446147463496,0.5607925731183382,0.1,0.05391043297159562,2,1000,0,15,0.8032099767986319,"OrderedDict([('colsample_bytree', 0.5607925731183382), ('gamma', 0.1), ('learning_rate', 0.05391043297159562), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 15), ('subsample', 0.8032099767986319)])",0.9766046790641871,0.982003599280144,0.978391356542617,0.9789998782956494,0.002245708339255451,14
28,16.478463649749756,0.062490358189530096,0.14650607109069824,0.012306581150944117,0.7068743973910685,0.1,0.06795820226710893,2,1000,0,15,0.4,"OrderedDict([('colsample_bytree', 0.7068743973910685), ('gamma', 0.1), ('learning_rate', 0.06795820226710893), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 0), ('reg_lambda', 15), ('subsample', 0.4)])",0.9784043191361728,0.9832033593281344,0.9807923169267707,0.9807999984636927,0.0019592074835713424,6
29,14.572200218836466,0.04598524376621155,0.150313138961792,0.016718366735349297,1.0,1.0,0.1,2,1000,4,15,0.6847536728069756,"OrderedDict([('colsample_bytree', 1.0), ('gamma', 1.0), ('learning_rate', 0.1), ('max_depth', 2), ('n_estimators', 1000), ('reg_alpha', 4), ('reg_lambda', 15), ('subsample', 0.6847536728069756)])",0.9694061187762447,0.976004799040192,0.975390156062425,0.9736003579596205,0.0029763711958304202,20
